"Année","Consommation annuelle totale de l'adresse (MWh)","Consommation annuelle moyenne par logement de l'adresse (MWh)","Consommation annuelle moyenne de la commune (MWh)","adresse","numero_dpe","etiquette_dpe","etiquette_ges","annee_construction","surface_habitable_logement","conso_5 usages_ef","emission_ges_5_usages","cout_total_5_usages","nombre_appartement"
2024,46.455,1.452,2.631,"10 RUE DU DOCTEUR GOUJON 750 PARIS","2475E4523800I","E","E",1930,30.6,8578.5,1702.3,1107,35
2024,30.009,1.429,2.631,"113 RUE DU FAUBOURG DU TEMPLE 750 PARIS","2475E2857854M","C","C",1850,34,4331.5,938.9,627.4,17
2024,31.808,1.988,2.631,"203 RUE DU FAUBOURG SAINT ANTOINE 750 PARIS","2475E0722616Y","E","B",1945,20.9,3434.6,251.2,643,19
2024,80.826,2.994,2.631,"199 RUE DU FAUBOURG SAINT ANTOINE 750 PARIS","2475E2089384Y","E","E",1945,42.8,9878.5,2183.8,935,32
2024,25.305,1.807,2.631,"164 RUE DU FAUBOURG SAINT MARTIN 750 PARIS","2375E4528408N","C","C",1954,81,11031.1,2349,839,14
2024,36.773,1.226,2.631,"190 AVENUE DU MAINE 750 PARIS","2475E1703622Y","D","D",1948,48,8126,1728,654,61
2024,19.753,1.235,2.631,"6 SQUARE DU MONT BLANC 750 PARIS","2475E2441774K","F","F",1934,61.3,23565.9,5279,2280.4,92
2024,26.03,0.84,2.631,"111 RUE DU MONT CENIS 750 PARIS","2475E2894867B","D","D",1945,25.8,5952,1264.2,662,31
2024,65.094,2.325,2.631,"6 VILLA DU MONT TONNERRE 750 PARIS","2475E0685756G","E","C",1945,12.3,2359.4,172.2,482,31
2024,85.398,5.023,2.631,"3 RUE DU MOULIN JOLY 750 PARIS","2475E1170687L","D","B",1987,88.8,7851.9,580,1336.1,17
2024,15.61,1.115,2.631,"92 RUE DU MOULIN VERT 750 PARIS","2475E2502727T","C","C",1948,35,4293.6,926.2,628,103
2024,78.549,0.982,2.631,"90 RUE DU MOULIN VERT 750 PARIS","2475E2500508K","C","C",1948,41,4937.6,1063.8,723.9,103
2024,126.402,6.019,2.631,"6 RUE DU NIGER 750 PARIS","2475E3934230O","D","B",1982,26.4,3154.5,228,755.7,21
2024,169.742,1.029,2.631,"30 RUE DU POTEAU 750 PARIS","2475E3398000I","E","E",1967,84.4,21333.1,4670.7,2242,190
2024,50.499,1.485,2.631,"54 RUE DU RANELAGH 750 PARIS","2475E3233249T","G","G",1970,18,12185.5,2703.2,1238,18
2024,106.739,1.16,2.631,"50 RUE DU RANELAGH 750 PARIS","2475E0616148A","D","A",1970,14.1,3877.8,71.8,348,115
2024,41.572,2.445,2.631,"14 RUE DU RUISSEAU 750 PARIS","2475E1016983T","E","D",1920,67.7,14610.9,2962.1,1249,16
2024,191.572,3.991,2.631,"10 RUE DU RUISSEAU 750 PARIS","2475E0290849N","E","B",1989,53,6104.2,452.6,1056.6,50
2024,36.086,0.902,2.631,"8 RUE DU SQUARE CARPEAUX 750 PARIS","2475E1278340Y","D","D",1939,51.9,8648.4,1594.9,734,40
2024,190.901,2.767,2.631,"175 RUE DU TEMPLE 750 PARIS","2475E0778310A","F","C",1945,25.9,4515.3,310.3,808,68
2024,46.58,1.941,2.631,"16 RUE DUCHEFDELAVILLE 750 PARIS","2475E3443982W","C","A",1989,38.4,3044.8,221.3,735,87
2024,19.264,0.838,2.631,"39 RUE DUNOIS 750 PARIS","2475E2991242U","F","F",1972,35.5,12133,2667.6,1265,24
2024,62.739,2.024,2.631,"18 RUE DUPETIT THOUARS 750 PARIS","2475E2776123Z","D","C",1850,19.1,3567.3,578.4,632,35
2024,52.514,2.501,2.631,"30 RUE DURANTIN 750 PARIS","2475E4515587L","E","C",1945,12.9,2523.9,180.6,636,25
2024,50.823,2.118,2.631,"60 AVENUE EDISON 750 PARIS","2475E4573850I","E","E",1955,57,13723,3001,1598.4,24
2024,72.642,2.018,2.631,"30 AVENUE EDISON 750 PARIS","2475E4570448M","D","C",1967,63,11214.4,1548.8,1170.4,96
2024,76.48,3.187,2.631,"7 RUE EDOUARD MANET 750 PARIS","2475E4111633T","E","B",1945,29.9,4377.5,299,988,30
2024,18.785,0.854,2.631,"28 RUE EMILE LEPEU 750 PARIS","2475E3813078W","D","D",1975,35.6,5338.8,1177.8,562.2,22
2024,49.186,2.139,2.631,"7 RUE EMILE LEVEL 750 PARIS","2475E0779417P","F","E",1933,40,12553.2,2137.4,1251.9,72
2024,40.602,0.829,2.631,"5 RUE ETEX 750 PARIS","2475E3093256K","D","D",1948,55.2,10585.1,1932.4,1018,50
2024,58.033,0.841,2.631,"6 RUE ETIENNE MAREY 750 PARIS","2475E0329709D","E","E",1945,40.1,10694.2,2366.5,726,73
2024,62.893,1.429,2.631,"18 RUE EURYALE DEHAYNIN 750 PARIS","2475E3650306K","F","F",1974,16.7,7649.4,1284.4,739,164
2024,64.927,1.443,2.631,"97 BOULEVARD EXELMANS 750 PARIS","2475E3938767B","D","D",1955,80.3,16920.2,3771.8,1687,37
2024,25.056,1.089,2.631,"2 RUE FERDINAND FABRE 750 PARIS","2475E4388399P","D","C",1948,45,8023.7,1305,874,25
2024,108.639,3.88,2.631,"5 RUE FERNAND WIDAL 750 PARIS","2475E2804247R","D","D",1933,105,18289.2,3719.5,2126.1,43
2024,105.827,1.26,2.631,"7 BOULEVARD FLANDRIN 750 PARIS","2475E1063636C","D","D",1963,50,8850.3,1966.5,615,85
2024,119.971,7.498,2.631,"41 AVENUE FOCH 750 PARIS","2475E2507203X","C","C",1907,413,52930.6,8999.3,5680,25
2024,111.857,1.348,2.631,"77 RUE FONDARY 750 PARIS","2475E2937824G","F","E",1945,21.7,7106.6,1173.4,923,162
2024,72.826,1.324,2.631,"16 RUE FRANC NOHAIN 750 PARIS","2475E2498978O","E","E",1956,54,16152.4,3567,1650.5,56
2024,83.735,2.991,2.631,"2 RUE FRANCOEUR 750 PARIS","2475E2289965P","E","B",1945,32,4445.8,319.8,797,29
2024,129.345,3.593,2.631,"15 RUE FREYCINET 750 PARIS","2475E0155968U","E","E",1945,186.6,43061.7,9517.1,3272,24
2024,26.013,1.734,2.631,"7 RUE FROMENTIN 750 PARIS","2475E2815696A","D","B",1945,81,8308.2,567,1757,26
2024,52.493,4.374,2.631,"6 RUE GABRIEL LAUMAIN 750 PARIS","2475E4234877X","D","B",1979,69.3,6338.3,473.1,1387.9,12
2024,22.958,2.087,2.631,"12 RUE GALVANI 750 PARIS","2475E4042720G","D","D",NA,30.4,5079.9,1095.8,569.8,11
2024,36.469,2.026,2.631,"241 AVENUE GAMBETTA 750 PARIS","2475E1957679J","C","C",2014,31.4,2595.4,562,202.4,18
2024,45.304,2.157,2.631,"119 AVENUE GAMBETTA 750 PARIS","2475E3138017Z","E","E",1910,120.1,29481.6,6572,3167.2,20
2024,74.924,2.204,2.631,"23 RUE GANNERON 750 PARIS","2475E1240138Q","C","B",1900,65.8,9118.4,601.3,824.7,49
2024,37.391,2.199,2.631,"19 PASSAGE GATBOIS 750 PARIS","2475E4340247P","D","B",1945,23.7,2507.6,165.6,633,19
2024,109.3,2.376,2.631,"40 RUE GAUTHEY 750 PARIS","2475E2873310Y","D","B",1945,22.1,2545.1,176.7,641,49
2024,36.242,1.208,2.631,"26 AVENUE GEORGES MANDEL 750 PARIS","2475E1990874C","F","F",1900,107,23441.6,7495,2221,30
2024,33.295,1.85,2.631,"6 RUE GEORGES THILL 750 PARIS","2475E0547424U","C","C",1989,48,6175.2,1296,766,45
2024,37.647,1.569,2.631,"50 RUE GILBERT CESBRON 750 PARIS","2475E0445707P","C","C",2013,66.8,6020.9,1082.4,559.3,24
